finetuning,pooling,patch_size,accuracy,macro_recall,macro_f1
05_LoRA,Mean,8,0.6492295214922952,0.38528609682258763,0.393845955873548
05_LoRA,Attention-shared,8,0.6370640713706407,0.3546198575234575,0.35534810876911854
05_LoRA,Attention-indep,8,0.6326034063260341,0.36929810651039713,0.3722888608943783
05_LoRA,MHA-shared,8,0.6180048661800487,0.357221737899338,0.3575411181473739
05_LoRA,MHA-indep,8,0.6240875912408759,0.38677185744397324,0.3833859177019724
05_LoRA,Hierarchical-shared,8,0.5823195458231955,0.3093066521775678,0.29725976633048934
05_LoRA,Hierarchical-indep,8,0.5875912408759124,0.3145474140259719,0.3028114002110603
05_LoRA,Mean,16,0.6415247364152473,,
05_LoRA,Attention-shared,16,0.6366585563665855,,
05_LoRA,Attention-indep,16,0.6171938361719383,,
05_LoRA,MHA-shared,16,0.6188158961881589,,
05_LoRA,MHA-indep,16,0.6139497161394971,,
05_LoRA,Hierarchical-shared,16,0.592051905920519,,
05_LoRA,Hierarchical-indep,16,0.5928629359286294,,
05_LoRA,Mean,32,0.6516626115166261,,
05_LoRA,Attention-shared,32,0.6171938361719383,,
05_LoRA,Attention-indep,32,0.6143552311435523,,
05_LoRA,MHA-shared,32,0.6188158961881589,,
05_LoRA,MHA-indep,32,0.6127331711273317,,
05_LoRA,Hierarchical-shared,32,0.5790754257907542,,
05_LoRA,Hierarchical-indep,32,0.5831305758313058,,
05_LoRA,Mean,64,0.637875101378751,,
05_LoRA,Attention-shared,64,0.6236820762368208,,
05_LoRA,Attention-indep,64,0.6326034063260341,,
05_LoRA,MHA-shared,64,0.6220600162206001,,
05_LoRA,MHA-indep,64,0.6155717761557178,,
05_LoRA,Hierarchical-shared,64,0.5819140308191403,,
05_LoRA,Hierarchical-indep,64,0.5827250608272506,,
